	Gene	pval	fc
1	ABCC2	7.95961909969243e-10	-4.42188082610975
2	ABCC3	0.010644482762389	-2.09278694145325
3	ACAA1	9.46867522786793e-05	-3.57334477847722
4	ACSL5	4.953470537559e-06	-2.06438846271261
5	ADAM10	0.0283376459648067	-1.62601533429403
6	ADH1A	8.32572603511411e-19	-43.3743326237661
7	ADH1B	2.46385411240855e-08	-52.0037047094531
8	AKR1B10	2.82803544003651e-05	-2.56610813953006
9	AKR1C2	6.72885699628582e-06	-3.55796089111951
10	AKR1C3	4.33713755760469e-06	-5.21262007989835
11	AKT1	0.00257350776614038	-1.60828212439332
12	ALB	1.94782262062836e-61	-6.15141288613594
13	ALDH2	3.84037891756694e-21	-4.19267840240146
14	ANLN	0.000103613853948762	3.35049303298475
15	APOA1	3.57664580074686e-40	-24.2256417307156
16	APOC1	1.09914842226284e-17	-15.0349064141567
17	APOE	0.00508768833195485	-2.96961511683013
18	APP	0.039745313264383	-1.75406173817296
19	AQP9	0.0490415244029854	-2.55691276154213
20	AREG	0.00509211372930349	4.8757183931763
21	ARHGEF12	0.00646326529991213	-1.70512062148476
22	ASF1B	4.06871378660334e-13	6.96423883149519
23	ASS1	1.18885160987545e-06	-5.05747005211564
24	ATP1B1	2.21273162485067e-09	-2.92630880979403
25	ATP5F1B	1.08780382418552e-09	-1.95180460111759
26	ATP5F1C	5.01129872898546e-17	-2.46815063704862
27	ATP6V0E1	6.89469686946642e-10	-1.95342148603012
28	ATP6V1D	0.0200794323633395	1.81949167215923
29	BAAT	5.86108049675329e-20	-19.2053698767163
30	BAX	0.00300875860361544	1.61885293155981
31	BLOC1S2	0.000796988951875067	2.84955354125868
32	BPHL	0.00986793649855812	-2.57970801036413
33	BTG2	0.0368811561584308	2.53821343168931
34	C1R	0.0314797829244952	-1.73043369849203
35	C1S	2.16847897806487e-11	-3.94897058108799
36	C3	1.18867571466696e-12	-3.5120968817138
37	C5	3.08539753825895e-05	-4.79014594493275
38	CASP1	0.0294383979082303	1.77739255961284
39	CAT	3.02270137040104e-13	-3.41839115324781
40	CAV1	8.97532614789226e-09	-2.67384612395892
41	CAV2	1.6095778757894e-05	-2.34873439794102
42	CBR1	0.00181160581218396	-2.17540863048303
43	CCNE2	0.0445206414332681	2.42780745399957
44	CCNG1	0.0201939090421597	1.63155308446764
45	CD44	1.94089638739952e-06	2.80034182756721
46	CD55	0.0148556411068415	2.21521066404918
47	CDC6	0.0187412359374979	3.10891202873281
48	CDH2	0.000710880081031945	-1.85320348025519
49	CDK1	3.29486036800929e-07	4.42385729428848
50	CEBPB	0.00447710660375453	-2.25294821117862
51	CENPH	0.0010928870299266	3.3681699219839
52	CENPK	0.002409250769467	2.82826256093418
53	CENPU	7.38027222077972e-11	6.14008236317208
54	CENPW	1.80929843860349e-06	3.6116632756718
55	CEP55	0.0213953886283799	2.79319441176191
56	CES1	4.40865431713606e-29	-3.13563461934595
57	CFH	4.63353239993182e-06	-2.89910271402378
58	CFHR1	0.000224113175232394	-3.04413303975995
59	CHEK1	0.0257282868855312	2.33078617530882
60	CIDEC	1.10158867343873e-06	-4.853863068558
61	CKS2	0.000902693585243283	2.13913812591297
62	CRIM1	1.908961558955e-08	-2.30981754255004
63	CSRP1	0.039868085326112	2.23943953883486
64	CXCL8	3.40060240222211e-08	3.6768649013366
65	CYP2A6	0.0293854708718149	-3.05864815826474
66	CYP2C8	1.10049807269625e-12	-127.356765204397
67	CYP2C9	2.60539666503933e-46	-29.0212685289729
68	CYP2E1	2.94528399866515e-05	-42.0360284020472
69	CYP3A4	6.81695426382099e-11	-90.2698974498299
