	Gene	pval	fc
1	AARS1	0	-4.04
2	ABCC1	0.01	-2.98
3	ABCC2	0	-2.11
4	ABCC3	0	-4.15
5	ACAA1	0	-8.6
6	ACSL5	0	-1.87
7	ADAM10	0	-2.32
8	ADH1A	0	-23.75
9	ADH1B	0	-6.38
10	AKR7A2	0	-2
11	AKT1	0	-3.32
12	ALB	0	-3.24
13	ALDH2	0	-4.57
14	ALDH9A1	0	-2.11
15	ALDOA	0	-1.76
16	AMZ2	0.04	2.37
17	ANKRD20A13P	0	-3.53
18	ANLN	0	3.12
19	ANO10	0.02	-2.52
20	ANXA2P2	0	1.53
21	ANXA8	0.05	2
22	ANXA8L1	0	-1.82
23	AP3M1	0	-1.87
24	APOA1	0	-3.05
25	APOC1	0	-3.43
26	APOE	0	-2.31
27	APP	0	-4.49
28	AREG	0	21.13
29	ARHGEF12	0	-1.75
30	ARPP19	0.05	2.16
31	ASF1B	0	2.53
32	ASS1	0.01	-2.27
33	ATP11B	0.05	-1.85
34	ATP11C	0	-3.72
35	ATP1A1	0.04	1.59
36	ATP1B1	0	-3.23
37	ATP5F1B	0	-3.14
38	ATP5F1C	0	-3.33
39	ATP5MK	0	-2.7
40	ATP6V0E1	0	-2.08
41	ATP6V1D	0.01	1.94
42	B3GALT6	0.03	-2.35
43	BAAT	0	-13.08
44	BAX	0	1.69
45	BBC3	0.02	2.53
46	BCL2L13	0	-4.3
47	BLOC1S2	0	3.35
48	BTG2	0	6.43
49	C1orf112	0.03	2.35
50	C1R	0	-1.75
51	C1S	0	-5.42
52	C3	0	-2.32
53	C5	0	-4.56
54	CASP1	0	2.86
55	CAT	0	-2.09
56	CAV1	0	-1.79
57	CAV2	0	-5.62
58	CAVIN2	0	5.54
59	CBR1	0.03	-1.66
60	CCN2	0.01	-2.17
61	CCNA2	0.03	2.67
62	CCNB1	0.04	2.21
63	CCNE2	0.01	2.94
64	CCNG1	0	1.82
65	CD44	0	2.6
66	CD55	0.01	2.4
67	CDC42	0	1.93
68	CDC6	0	3.44
69	CDCA5	0.02	2.8
70	CDH2	0	-3.05
71	CDK1	0	5.87
72	CDK4	0.01	-1.56
73	CDKN3	0	2.98
74	CEBPB	0.05	-1.51
75	CENPH	0.02	1.93
76	CENPK	0	2.4
77	CENPU	0	3.29
78	CENPW	0	5.1
79	CEP55	0.02	2.42
80	CES1	0	-3.33
81	CFH	0.01	-1.8
82	CFHR1	0.01	-2.05
83	CHMP4A	0	-2.67
84	CHST11	0.03	-2.67
85	CIAO2A	0	-6.27
86	CIDEC	0	-5.61
87	CKS1B	0	3.07
88	CKS2	0	2.11
89	CLIC4	0	-1.87
90	CNKSR3	0.03	-2.48
91	COL4A1	0.03	-2.16
92	COL5A1	0	-20.99
93	COPS5	0.03	-1.79
94	CRIM1	0	-2.83
95	CXCL1	0	-2.62
96	CXCL2	0	-2.16
97	CXCL8	0	2.8
98	CYCS	0.02	-2.26
99	CYP2C8	0	-95.11
100	CYP2C9	0	-27.11
101	CYP2E1	0.03	-2.77
102	CYP3A4	0	-12.22
103	CYP4F2	0	-3.2
104	CYP51A1	0.05	-1.61
105	DAAM1	0.01	2.26
106	DAPK1	0	-3.78
107	DBF4	0.02	2.05
108	DDC	0	-5.6
109	DERA	0	2.76
110	DFFB	0	-3.73
111	DHRS7	0	2.33
112	DSP	0.04	1.68
113	DTL	0.02	2.82
114	DUSP11	0	5.71
115	DUSP14	0	2.55
116	DYNLL1	0	2.03
117	DYRK3	0	4.2
118	E2F7	0.01	3.31
119	ECI1	0	-4.66
120	EDEM1	0.05	2.44
121	EDN1	0.02	2.64
122	EGR1	0	2.88
123	EI24	0	-2.41
124	EIF3E	0	-2.73
125	EIF4EBP1	0	-1.91
126	EVI2B	0	6.45
127	EXO1	0	4.12
128	EXT1	0	-4.33
129	F2	0	-2.1
130	F3	0.01	-2.12
131	FABP1	0	-33.39
132	FAM174A	0	-2.04
133	FAM72A	0	2.54
134	FANCI	0.03	2.59
135	FAS	0	4.68
136	FASN	0	-3.66
137	FBXO7	0.05	-1.54
138	FGB	0	-1.99
139	FGG	0	-3.53
140	FKBP5	0	-2.25
141	FMO3	0	-6.37
142	FN1	0	-3.09
143	FOSL1	0.02	2.35
144	FPR1	0.02	-2.83
145	FRS2	0.04	-1.78
146	FSTL1	0	-2.88
147	G6PD	0	-3.4
148	GADD45A	0	3.25
149	GCLC	0.01	-2.74
150	GCLM	0	-2.03
151	GDF15	0	11.6
152	GDNF	0.04	2.2
153	GEMIN5	0.01	-2.07
154	GGH	0.01	2.09
155	GINS3	0.01	2.92
156	GLRX	0	-2.67
157	GMNN	0.02	2.09
158	GNB1	0.01	-1.67
159	GPC1	0	-6.17
160	GPR87	0	3.34
161	GPX1	0	2.46
162	GRB14	0	-4.3
163	GSR	0	-3.37
164	GSTA5	0.03	-2.52
165	GSTM2	0	-4.58
166	GUSBP15	0.04	-2.48
167	H2AZ1	0	1.64
168	H2BC4	0.01	-1.88
169	H2BC5	0.04	1.56
170	H3C10	0.01	-1.93
171	HAT1	0.03	2.07
172	HDAC2	0.01	-1.5
173	HES1	0.04	2.45
174	HEXB	0.02	1.77
175	HIF1A	0	-2
176	HIKESHI	0.01	-2.67
177	HLA-DQB1	0	5.73
178	HMGCS2	0	-9.12
179	HMMR	0.02	1.7
180	HP	0	-3.19
181	HPN	0.01	-2.14
182	HPR	0	-7.13
183	HSP90AA1	0	2.56
184	HSPA5	0	-4.64
185	HTATSF1	0.01	-1.82
186	HTRA1	0	-3.4
187	ID1	0	-3.86
188	IDI1	0	-2.2
189	IFI27	0	2.55
190	IFI30	0	2.87
191	IGF2R	0	-1.94
192	IGFBP3	0.01	-2.54
193	IGFBP6	0.02	2.74
194	IKBIP	0	2.14
195	IL1B	0	4.63
196	ILK	0	-1.94
197	INPP1	0	4.59
198	INSIG1	0	-4.03
199	ISG15	0.04	2.48
200	ITGA1	0	-3.47
201	KDELR2	0.03	-1.64
202	KDM3A	0.01	-2.37
203	KIF14	0.03	2.01
204	KIF20A	0	2.93
205	KIF23	0	4.02
206	KIF2C	0	2.06
207	KLF5	0.02	2.4
208	KRT17	0	5.16
209	LAMP1	0	-1.53
210	LAP3	0	-1.79
211	LAPTM5	0	8.57
212	LIPA	0.01	-1.72
213	LRRC41	0	-4.39
214	LSS	0.01	-3.68
215	MAD2L1	0.04	2.6
216	MAGEA6	0.01	-1.61
217	MAOA	0	-4.68
218	MAOB	0	-6.52
219	MAP2	0	-2.76
220	MAPK3	0	-2.82
221	MAPKAPK2	0	-2.21
222	MAPT	0	-7.12
223	MAT2A	0	-1.76
224	MBNL1	0	-1.94
225	MBNL2	0.03	-2.03
226	MCM10	0.05	2.33
227	MDH1	0	-2.98
228	MDH2	0.02	-1.53
229	MDM2	0	3.09
230	MKI67	0	3.1
231	MND1	0.02	3.1
232	MPC2	0	-2.53
233	MRPL12	0	-2.63
234	MRPL36	0.01	-1.63
235	MRPS6	0.05	1.83
236	MSI2	0.05	-1.91
237	MSMO1	0	-3.27
238	MT-ND6	0	-1.75
239	MT1G	0	2.52
240	MT2A	0	2.33
241	MTA1	0.01	-2.41
242	MYBL1	0.01	2.19
243	MYCBP2	0.01	-3.1
244	NAMPT	0	-2.77
245	NCAPG	0	2.25
246	NCF2	0	1.79
247	NDRG1	0	-2.05
248	NEK2	0	3.45
249	NFE2L2	0	-1.89
250	NFIL3	0.02	-2.14
251	NIT1	0.03	-1.85
252	NME1	0.01	1.68
253	NNT	0	-3.31
254	NOL3	0	-2.38
255	NOLC1	0	-2.17
256	NSA2	0	-1.77
257	OAZ1	0	-1.55
258	OIP5	0.04	2.32
259	ORM1	0.02	-1.71
260	ORM2	0.03	-1.68
261	PARP2	0.02	2.19
262	PCNA	0	4.4
263	PDCD6IP	0	-1.75
264	PDHB	0	-1.81
265	PEBP1	0	-1.75
266	PEG10	0	-2.48
267	PGK1	0	-2.54
268	PITPNA	0	-3.19
269	PLEKHA7	0	-10.3
270	PLXDC2	0	-36.98
271	POLR2H	0	2.09
272	PPARG	0	-4.7
273	PPM1D	0.04	2.48
274	PPP2R5A	0	-3.57
275	PRKAB1	0.03	2.46
276	PRKAG1	0	-1.86
277	PRKAR1A	0.04	2.39
278	PROCR	0	4.35
279	PSMA4	0	2.41
